filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
genrenew30\sufi\su23.mp3,0.27898028,0.09411734,0.12731194,0.005385893,3013.352813,962319.9309,2732.370127,158883.1623,6264.237121,2544750.178,0.138192286,0.006326136,-6.81E-06,0.012480786,-3.68E-05,0.004233998,99.38401442,-131.62476,7904.7607,51.756523,1206.7245,1.8309387,541.1574,15.743358,340.75574,-5.442151,443.22232,4.257521,185.85031,-4.8896594,99.26958,2.3526468,117.313126,-15.9700165,144.98776,0.5813888,190.66895,-1.7655172,105.73597,-11.738899,107.20037,-11.644438,112.00589,-14.691931,84.07089,-16.70291,85.68422,-7.0341554,93.91344,-17.409868,97.6443,-0.6519947,137.11607,-11.280201,127.60875,-7.4997816,131.49767,sufi
genrenew30\sufi\su24.mp3,0.31053957,0.08960337,0.13340303,0.004157892,3420.178472,726929.5429,2910.206325,92091.66915,7035.724123,1442101.323,0.176569983,0.007509134,-4.82E-06,0.010712212,-2.07E-05,0.005734961,99.38401442,-93.584755,4910.4097,44.549477,760.53613,4.882169,554.7561,14.656465,456.1723,-4.592319,387.02097,1.1271937,172.60277,-9.398315,171.98575,0.92694527,98.09927,-15.120709,168.65094,-0.7000608,96.92239,-4.277579,102.67911,-10.426337,92.10326,-10.248832,89.85627,-11.166414,69.58834,-15.325328,83.50526,-5.9872584,88.85373,-16.100605,73.794815,0.7579987,91.48877,-11.953872,98.655785,-3.6357746,123.18871,sufi
genrenew30\sufi\su25.mp3,0.33331335,0.088908605,0.19413424,0.00294681,2136.300228,318288.0436,2453.804322,108229.2015,4622.763713,1940542.246,0.088226224,0.001208319,4.27E-06,0.026447067,4.54E-05,0.005528862,83.35433468,-56.763268,1787.9918,98.88608,480.02853,-2.7221866,222.32121,18.976532,160.1922,3.78364,86.35506,2.9593372,72.35665,-1.3672107,96.47876,2.152673,50.948193,-0.4747392,65.354805,3.4952095,71.12254,-5.0687647,44.777195,3.3272085,34.248203,0.004144733,41.48242,2.4846725,41.752956,-1.9428917,55.0532,0.8018713,46.37029,-9.642846,44.030106,-3.9728138,56.987133,-8.551315,65.675575,-3.321339,60.431442,sufi
genrenew30\sufi\su26.mp3,0.34550327,0.08881799,0.21503219,0.003802652,2091.844385,513048.9267,2530.325385,217926.7779,4807.204265,3237132.79,0.073118983,0.001237446,5.70E-06,0.038148917,-2.56E-05,0.004896273,83.35433468,-71.791435,3779.5576,101.1046,727.21234,14.722294,243.38583,19.821241,212.02008,0.2038391,94.87072,4.91641,76.257324,3.0027964,93.6868,4.227717,37.8926,-3.9742272,47.21558,6.259103,65.79374,5.401364,50.65716,5.382678,40.44801,-2.9824698,82.50386,5.1467805,65.23115,-1.2493545,43.316105,5.6244946,44.433544,-0.7751291,81.153,1.2028817,89.49868,-3.9026258,96.45058,-0.8074932,61.64977,sufi
genrenew30\sufi\su27.mp3,0.31967664,0.08997683,0.21558344,0.00320065,2364.077351,369971.4231,2665.17058,118037.8874,5349.625985,2332386.01,0.092827103,0.001382183,-5.59E-06,0.030503739,-8.08E-06,0.007601237,83.35433468,-49.27199,1604.5195,88.16006,379.27264,5.9533186,338.0372,17.022116,173.63315,5.278361,138.05618,0.97242725,74.49989,0.47594184,125.813324,3.566939,64.15827,-5.2173586,56.191746,6.152332,81.638336,-1.546443,54.4334,1.9760671,42.8947,-2.655027,66.14478,1.336025,44.332207,-2.3027093,59.964283,1.1840439,49.00767,-8.965193,58.278095,-0.6922169,89.549324,-6.5767236,91.50407,-2.0816004,71.36282,sufi
genrenew30\sufi\su28.mp3,0.2742154,0.09064793,0.09804059,0.000915031,1720.698878,482021.7936,2150.587622,206872.4234,3479.295628,2715062.315,0.079866486,0.002291527,-3.04E-06,0.008460942,-3.21E-05,0.000672518,92.28515625,-200.05544,3925.1667,120.71739,930.9945,10.446077,303.04224,10.941774,297.32922,3.7118928,264.29977,-0.41728055,275.10583,11.782725,216.90427,6.2600822,142.07114,-28.35286,232.3406,11.600447,344.63742,-8.182477,138.88187,-15.01522,152.66486,-3.347476,134.44994,-9.108186,98.12032,-14.173757,165.15744,3.8198476,131.33745,-7.6901155,155.22395,-4.547561,214.55956,-4.833412,197.61568,-8.009432,220.92242,sufi
genrenew30\sufi\su29.mp3,0.30634454,0.0902429,0.118189454,0.000913275,1758.927502,187838.4828,2168.976198,110422.2816,3492.262216,1101838.9,0.076351768,0.000876882,-4.43E-05,0.008717652,-0.000147692,0.002343077,92.28515625,-129.10986,1974.0995,118.665184,538.40497,-4.0421586,131.58105,17.609072,109.618904,5.6665897,167.48563,-0.022414925,120.76057,1.9544846,115.10572,4.0685544,64.09369,-11.286929,102.99165,6.138726,79.19794,-0.99438965,69.59437,-7.178633,83.87708,-3.099912,76.17058,-2.8880255,69.10595,-6.602972,88.200165,2.8917382,77.04465,-4.6501207,80.89571,-3.179674,57.96723,-7.147076,94.831726,-6.194107,67.110535,sufi
genrenew30\sufi\su30.mp3,0.38046214,0.0864176,0.1575539,0.000882743,1632.309731,381071.1782,2251.590788,241492.7065,3690.11102,2985013.667,0.058537061,0.000936135,0.000527351,0.016548045,0.002694069,0.002878089,92.28515625,-120.770836,2493.2102,119.052246,573.5106,15.994645,242.35251,29.515686,188.22916,13.154654,164.10262,7.483959,88.56295,7.0058866,85.98857,11.977883,83.13228,-6.908197,133.14264,9.911066,95.579185,0.5949808,61.206474,0.16575107,103.97935,1.7631199,76.2084,5.6497927,85.28572,-2.1488328,79.898834,3.229292,71.547905,-2.0620964,84.78385,0.41508847,69.321465,-7.1410937,90.4957,-2.2055035,65.40596,sufi
genrenew30\sufi\su31.mp3,0.32111415,0.0967846,0.1762074,0.005321646,1966.452562,702251.5088,2257.63908,285376.0891,4102.766858,3404478.927,0.080313195,0.003307752,-6.03E-06,0.024616687,-1.80E-05,0.004623212,135.9991776,-118.263664,5979.7656,106.6038,1132.1389,0.66901827,670.18665,17.030327,418.49918,-3.7122595,309.9884,-0.4631442,260.36935,-5.2686577,164.09755,-4.0291104,181.33455,-8.993513,237.17079,7.6795573,141.47227,0.40668082,111.94016,-0.10658042,91.752884,0.7719614,88.02627,-5.4069233,110.65671,-4.5968127,76.29251,-0.29805374,61.55828,-6.830711,73.32904,-0.31205198,78.12256,-5.124115,84.39067,0.81939983,75.11524,sufi
genrenew30\sufi\su32.mp3,0.31445524,0.08960978,0.25049064,0.003963512,1939.464773,273652.26,2371.096448,99814.75374,4298.890672,1554246.488,0.071825718,0.001173803,-2.99E-06,0.041772902,-0.000125718,0.00855749,135.9991776,-56.293247,2461.3782,103.29945,399.2219,5.4660525,454.7918,24.140165,189.14363,-0.4727595,154.3319,10.999346,84.784615,1.9147772,98.54194,4.105674,77.08254,-5.195895,74.04324,9.914767,89.36427,-0.75099933,62.966923,3.4913206,73.05636,3.4728153,65.46113,-2.255554,76.42396,-1.5001327,70.91371,2.7193398,54.71866,-5.386266,55.680298,5.0282435,67.83651,-2.7510414,93.0949,2.9909632,86.93443,sufi
